,imports,exports,netImportExports,POWER GENERATED,ONTARIO DEMAND,TOTAL EMISSIONS,CO2e INTENSITY,nuclearPercentage,hydroPercentage,gasPercentage,windPercentage,biofuelPercentage,solarPercentage,nuclearOutput,hydroOutput,gasOutput,windOutput,biofuelOutput,solarOutput
"Wed Nov 17, 10 AM - 11 AM",988 MW,"2,575 MW","1,587 MW","17,989 MW","16,402 MW",586 tonnes,33 g/kWh,47.4%,25.9%,7.2%,18.7%,0.5%,0.2%,"8,528 MW","4,661 MW","1,304 MW","3,363 MW",96 MW,37 MW
"Wed Nov 17, 11 AM - 12 PM","1,066 MW","2,334 MW","1,268 MW","17,872 MW","16,604 MW",641 tonnes,36 g/kWh,47.8%,24.7%,7.7%,19.1%,0.5%,0.3%,"8,540 MW","4,407 MW","1,374 MW","3,417 MW",86 MW,48 MW
"Wed Nov 17, 12 PM - 1 PM","1,659 MW","2,431 MW",772 MW,"17,539 MW","16,767 MW",660 tonnes,38 g/kWh,48.7%,22.5%,8.2%,19.9%,0.5%,0.3%,"8,535 MW","3,951 MW","1,436 MW","3,491 MW",79 MW,47 MW
"Wed Nov 17, 1 PM - 2 PM","1,836 MW","2,181 MW",345 MW,"17,019 MW","16,674 MW",573 tonnes,34 g/kWh,49.2%,21.9%,7.4%,20.9%,0.4%,0.2%,"8,379 MW","3,723 MW","1,252 MW","3,565 MW",73 MW,27 MW
"Wed Nov 17, 2 PM - 3 PM","1,503 MW","2,044 MW",541 MW,"17,157 MW","16,616 MW",635 tonnes,37 g/kWh,48.7%,21.2%,8.0%,21.4%,0.7%,0.1%,"8,351 MW","3,638 MW","1,369 MW","3,671 MW",115 MW,13 MW
"Wed Nov 17, 3 PM - 4 PM","1,213 MW","2,101 MW",888 MW,"17,648 MW","16,760 MW",682 tonnes,39 g/kWh,47.4%,21.2%,8.2%,22.7%,0.5%,0.0%,"8,365 MW","3,738 MW","1,448 MW","4,003 MW",89 MW,5 MW
"Wed Nov 17, 4 PM - 5 PM",731 MW,"1,414 MW",683 MW,"17,972 MW","17,289 MW",736 tonnes,41 g/kWh,46.6%,21.7%,8.7%,22.7%,0.4%,0.0%,"8,371 MW","3,905 MW","1,558 MW","4,074 MW",64 MW,0 MW
"Wed Nov 17, 5 PM - 6 PM",230 MW,994 MW,764 MW,"18,553 MW","17,789 MW",786 tonnes,42 g/kWh,46.0%,22.8%,8.9%,22.1%,0.4%,0.0%,"8,527 MW","4,223 MW","1,646 MW","4,091 MW",66 MW,0 MW
"Wed Nov 17, 6 PM - 7 PM",130 MW,"1,451 MW","1,321 MW","18,527 MW","17,206 MW",738 tonnes,40 g/kWh,46.2%,22.7%,8.3%,22.4%,0.4%,0.0%,"8,563 MW","4,198 MW","1,543 MW","4,155 MW",68 MW,0 MW
"Wed Nov 17, 7 PM - 8 PM",882 MW,"2,182 MW","1,300 MW","17,996 MW","16,696 MW",666 tonnes,37 g/kWh,47.6%,21.5%,7.5%,22.9%,0.5%,0.0%,"8,560 MW","3,864 MW","1,357 MW","4,122 MW",93 MW,0 MW
"Wed Nov 17, 8 PM - 9 PM","1,658 MW","2,422 MW",764 MW,"16,830 MW","16,066 MW",389 tonnes,23 g/kWh,50.8%,20.5%,4.7%,23.4%,0.6%,0.0%,"8,556 MW","3,443 MW",796 MW,"3,934 MW",101 MW,0 MW
"Wed Nov 17, 9 PM - 10 PM","1,619 MW","2,415 MW",796 MW,"16,198 MW","15,402 MW",328 tonnes,20 g/kWh,52.8%,20.2%,4.1%,22.2%,0.6%,0.0%,"8,555 MW","3,274 MW",665 MW,"3,603 MW",101 MW,0 MW
"Wed Nov 17, 10 PM - 11 PM","1,322 MW","2,351 MW","1,029 MW","15,477 MW","14,448 MW",124 tonnes,8 g/kWh,55.3%,19.2%,1.3%,23.5%,0.7%,0.0%,"8,561 MW","2,972 MW",198 MW,"3,635 MW",111 MW,0 MW
"Thu Nov 18, 11 PM - 12 AM",664 MW,"2,358 MW","1,694 MW","15,214 MW","13,520 MW",107 tonnes,7 g/kWh,56.3%,19.1%,1.0%,22.9%,0.7%,0.0%,"8,561 MW","2,908 MW",158 MW,"3,486 MW",101 MW,0 MW
